48500;The Residence Maldives at Falhumaafushi
48582;The Residence Maldives at Dhigurah
48695;The Ritz-Carlton Maldives, Fari Islands
57984;The St. Regis Maldives Vommuli Resort
58139;The Standard Huruvalhi Maldives
48785;The Westin Maldives Miriandhoo Resort
58429;Thulhagiri Island Resort
48897;Vakkaru Maldives
58496;VARU by Atmosphere
49109;Velassaru Maldives
58624;Veligandu Island Resort & Spa
58726;Vilamendhoo Island Resort & Spa
58815;W Maldives
49221;Waldorf Astoria Maldives Ithaafushi
58896;You & Me the Cocoon Collection
75967;OBLU SELECT Lobigili
75966;OBLU XPERIENCE Ailafushi
75962;Angaga Island Resort & Spa
75961;Cheval Blanc Randheli
75960;Club Med Finolhu villas - Maldives
75959;Club Med Kani - Maldives
75958;Cocogiri Island Resort
75957;Four Seasons Maldives Private Island at Voavah
75954;Six Senses Kanuhura
75947;Velaa Private Island
76039;Anantara Naladhu Private Island Maldives
76040;Anantara Niyama Private Islands Maldives
